cell,threads,window,compute,chunk_size,rep,touches,absent_handled,evictions,infeasible,pager_bytes_fetched,signal_mode,rc
1,1,0,0,134217728,1,80,48,40,0,6442450944,post,0
1,1,0,0,134217728,2,80,48,40,0,6442450944,post,0
1,1,0,0,134217728,3,80,48,40,0,6442450944,post,0
1,1,0,0,134217728,4,80,48,40,0,6442450944,post,0
1,1,0,0,134217728,5,80,48,40,0,6442450944,post,0
2,1,0,400000,134217728,1,80,48,40,0,6442450944,post,0
2,1,0,400000,134217728,2,80,48,40,0,6442450944,post,0
2,1,0,400000,134217728,3,80,48,40,0,6442450944,post,0
2,1,0,400000,134217728,4,80,48,40,0,6442450944,post,0
2,1,0,400000,134217728,5,80,48,40,0,6442450944,post,0
3,8,0,0,134217728,1,80,48,40,0,6442450944,post,0
3,8,0,0,134217728,2,80,48,40,0,6442450944,post,0
3,8,0,0,134217728,3,80,48,40,0,6442450944,post,0
3,8,0,0,134217728,4,80,48,40,0,6442450944,post,0
3,8,0,0,134217728,5,80,48,40,0,6442450944,post,0
4,8,1,0,134217728,1,80,50,42,0,6710886400,post,0
4,8,1,0,134217728,2,80,50,42,0,6710886400,post,0
4,8,1,0,134217728,3,80,50,42,0,6710886400,post,0
4,8,1,0,134217728,4,80,50,42,0,6710886400,post,0
4,8,1,0,134217728,5,80,50,42,0,6710886400,post,0
5,8,1,400000,134217728,1,80,50,42,0,6710886400,post,0
5,8,1,400000,134217728,2,80,50,42,0,6710886400,post,0
5,8,1,400000,134217728,3,80,50,42,0,6710886400,post,0
5,8,1,400000,134217728,4,80,50,42,0,6710886400,post,0
5,8,1,400000,134217728,5,80,50,42,0,6710886400,post,0
6,8,1,400000,8388608,1,1280,768,640,0,6442450944,post,0
6,8,1,400000,8388608,2,1280,768,640,0,6442450944,post,0
6,8,1,400000,8388608,3,1280,768,640,0,6442450944,post,0
6,8,1,400000,8388608,4,1280,768,640,0,6442450944,post,0
6,8,1,400000,8388608,5,1280,768,640,0,6442450944,post,0
